Level,District Code,District Name,School Code,School Name,Content,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate 2025,Participation Rate 2024,Participation Rate 2023,Mean Scale Score,Standard Deviation,Number Did Not Yet Meet Expectations,Percent Did Not Yet Meet Expectations,Number Partially Met Expectations,Percent Partially Met Expectations,Number Approached Expectations,Percent Approached Expectations,Number Met Expectations,Percent Met Expectations,Number Exceeded Expectations,Percent Exceeded Expectations,Number Met or Exceeded Expectations,2025,2024,2023,"Change
2025-2024","Congressional
District"
STATE,0000,All Districts,0000,All Schools,English Language Arts,All Grades," 366,226"," 326,316","  39,910",89.1,87.8,88.8,743,39,"  48,357",14.8,"  55,932",17.1,"  75,825",23.2," 116,429",35.7,"  29,773",9.1," 146,202",44.8,44.1,43.7,   0.7,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,03,"  60,439","  56,598","   3,841",93.6,93.0,93.9,737,44,"  12,657",22.4,"   8,902",15.7,"  11,280",19.9,"  21,336",37.7,"   2,423",4.3,"  23,759",42.0,42.1,39.9,  -0.1,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,04,"  58,822","  55,071","   3,751",93.6,92.3,93.6,741,37,"   7,700",14.0,"  10,289",18.7,"  13,945",25.3,"  17,821",32.4,"   5,316",9.7,"  23,137",42.0,42.0,43.8,   0.0,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,05,"  61,346","  56,595","   4,751",92.3,91.1,92.4,746,35,"   6,012",10.6,"   9,356",16.5,"  14,060",24.8,"  23,590",41.7,"   3,577",6.3,"  27,167",48.0,47.3,47.8,   0.7,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,06,"  60,965","  54,607","   6,358",89.6,88.1,89.4,743,34,"   6,133",11.2,"  10,368",19.0,"  13,988",25.6,"  19,893",36.4,"   4,225",7.7,"  24,118",44.2,44.0,43.4,   0.2,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,07,"  61,811","  53,148","   8,663",86.0,84.6,85.2,747,39,"   7,026",13.2,"   8,932",16.8,"  11,233",21.1,"  16,265",30.6,"   9,692",18.2,"  25,957",48.8,46.3,45.0,   2.5,N/A
STATE,0000,All Districts,0000,All Schools,English Language Arts,08,"  62,843","  50,297","  12,546",80.0,78.5,79.1,741,41,"   8,829",17.6,"   8,085",16.1,"  11,319",22.5,"  17,524",34.8,"   4,540",9.0,"  22,064",43.9,42.8,42.4,   1.1,N/A
STATE,0000,All Districts,0000,All Schools,Spanish Language Arts,All Grades,"   3,322","   2,919",     403,87.9,91.9,94.2,723,26,     584,20.0,     813,27.9,"   1,086",37.2,     402,13.8,      34,1.2,     436,14.9,16.7,16.7,  -1.8,N/A
STATE,0000,All Districts,0000,All Schools,Spanish Language Arts,03,"   1,896","   1,570",     326,82.8,92.1,93.6,723,27,     323,20.6,     432,27.5,     556,35.4,     242,15.4,      17,1.1,     259,16.5,17.2,18.7,  -0.7,N/A
STATE,0000,All Districts,0000,All Schools,Spanish Language Arts,04,"   1,426","   1,349",      77,94.6,91.7,94.9,723,25,     261,19.3,     381,28.2,     530,39.3,     160,11.9,      17,1.3,     177,13.1,15.9,14.2,  -2.8,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,All Grades," 371,922"," 332,189","  39,733",89.3,88.8,89.2,736,36,"  54,052",16.3,"  76,536",23.0,"  82,345",24.8,"  98,089",29.5,"  21,167",6.4," 119,256",35.9,34.2,32.9,   1.7,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,03,"  62,663","  58,763","   3,900",93.8,94.0,94.3,739,39,"  10,002",17.0,"  11,336",19.3,"  13,212",22.5,"  18,396",31.3,"   5,817",9.9,"  24,213",41.2,41.7,40.4,  -0.5,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,04,"  60,554","  56,789","   3,765",93.8,93.2,93.8,736,34,"   9,055",15.9,"  13,074",23.0,"  13,919",24.5,"  18,501",32.6,"   2,240",3.9,"  20,741",36.5,34.1,32.7,   2.4,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,05,"  61,755","  57,000","   4,755",92.3,92.2,92.9,739,34,"   7,358",12.9,"  13,165",23.1,"  14,170",24.9,"  18,237",32.0,"   4,070",7.1,"  22,307",39.1,37.3,36.5,   1.8,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,06,"  61,428","  55,127","   6,301",89.7,89.1,89.9,732,34,"   9,781",17.7,"  12,966",23.5,"  15,079",27.4,"  14,613",26.5,"   2,688",4.9,"  17,301",31.4,29.2,28.2,   2.2,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,07,"  62,231","  53,581","   8,650",86.1,85.5,85.6,735,30,"   6,041",11.3,"  14,429",26.9,"  16,085",30.0,"  14,218",26.5,"   2,808",5.2,"  17,026",31.8,29.8,26.3,   2.0,N/A
STATE,0000,All Districts,0000,All Schools,Mathematics,08,"  63,291","  50,929","  12,362",80.5,79.2,79.5,734,42,"  11,815",23.2,"  11,566",22.7,"   9,880",19.4,"  14,124",27.7,"   3,544",7.0,"  17,668",34.7,32.5,32.7,   2.2,N/A
DISTRICT,0010,Mapleton 1,0000,All Schools,English Language Arts,All Grades,"   2,944","   2,670",     274,90.7,90.1,93.7,724,34,     661,24.8,     671,25.1,     700,26.2,     584,21.9,      54,2.0,     638,23.9,21.9,21.8,   2.0,8th Congressional District
DISTRICT,0010,Mapleton 1,0000,All Schools,English Language Arts,03,     473,     451,      22,95.3,91.5,96.9,720,39,     140,31.0,     100,22.2,     100,22.2,     107,23.7,       4,0.9,     111,24.6,18.1,17.8,   6.5,8th Congressional District
DISTRICT,0010,Mapleton 1,0000,All Schools,English Language Arts,04,     510,     467,      43,91.6,92.2,94.8,720,31,     115,24.6,     141,30.2,     124,26.6,      81,17.3,       6,1.3,      87,18.6,18.5,20.6,   0.1,8th Congressional District
DISTRICT,0010,Mapleton 1,0000,All Schools,English Language Arts,05,     457,     418,      39,91.5,91.0,95.3,733,32,      73,17.5,      84,20.1,     142,34.0,     109,26.1,      10,2.4,     119,28.5,24.0,25.9,   4.5,8th Congressional District
